show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,Duration in Mins,First Category,Murder Mystery?
s5281,TV Show,Fire Chasers,N/A,,United States,"Friday, 8 September 2017",2017,TV-MA,1 Season,"Docuseries, Science & Nature TV",,Docuseries,No
s5480,TV Show,The Keepers,N/A,,United States,"Friday, 19 May 2017",2017,TV-MA,1 Season,"Crime TV Shows, Docuseries, TV Mysteries",,Crime TV Shows,Yes
s5576,TV Show,Cheer Squad,N/A,,United States,"Tuesday, 14 March 2017",2016,TV-PG,1 Season,"Reality TV, Teen TV Shows",,Reality TV,No
s5800,TV Show,Chef's Table: France,N/A,,United States,"Friday, 2 September 2016",2016,TV-14,1 Season,Docuseries,,Docuseries,No
s5812,TV Show,Behind Enemy Lines,N/A,,United States,"Monday, 15 August 2016",2001,TV-14,1 Season,"British TV Shows, Docuseries",,British TV Shows,No
s5871,TV Show,Masha's Tales,N/A,,United States,"Monday, 1 February 2016",2012,TV-Y,1 Season,Kids' TV,,Kids' TV,No
s6390,TV Show,"Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija",N/A,,United States,"Saturday, 31 March 2018",2017,TV-PG,1 Season,Kids' TV,,Kids' TV,No
s6478,TV Show,Christiane Amanpour: Sex & Love Around the World,N/A,,United States,"Sunday, 30 September 2018",2018,TV-MA,1 Season,Docuseries,,Docuseries,No
s6514,TV Show,Cold Case Files,N/A,,United States,"Sunday, 15 September 2019",2017,TV-14,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,No
s6525,TV Show,Conan Without Borders,N/A,,United States,"Monday, 31 December 2018",2018,TV-14,1 Season,"Docuseries, TV Comedies",,Docuseries,No
s6612,TV Show,Dinner for Five,N/A,,United States,"Monday, 4 February 2008",2007,TV-MA,1 Season,Stand-Up Comedy & Talk Shows,,Stand-Up Comedy & Talk Shows,No
s6619,TV Show,Diva Brides,N/A,,United States,"Wednesday, 2 October 2019",2017,TV-MA,1 Season,"British TV Shows, Reality TV",,British TV Shows,No
s7018,TV Show,How to Live Mortgage Free with Sarah Beeny,N/A,,United States,"Saturday, 15 September 2018",2018,TV-MA,1 Season,"British TV Shows, International TV Shows, Reality TV",,British TV Shows,No
s7082,TV Show,Inside the Mind of a Serial Killer,N/A,,United States,"Monday, 1 July 2019",2015,TV-14,1 Season,"Crime TV Shows, Docuseries",,Crime TV Shows,Yes
s7223,TV Show,Kon Kon Kon,N/A,,United States,"Friday, 16 February 2018",2014,TV-PG,1 Season,"Docuseries, International TV Shows",,Docuseries,No
s7405,TV Show,Marching Orders,N/A,,United States,"Friday, 3 August 2018",2018,TV-14,1 Season,Docuseries,,Docuseries,No
s7439,TV Show,Melodies of Life - Born This Way,N/A,,United States,"Friday, 21 June 2019",2016,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",,International TV Shows,No
s7450,TV Show,Mexico Diseña,N/A,,United States,"Wednesday, 1 February 2017",2016,TV-PG,1 Season,"International TV Shows, Reality TV, Spanish-Language TV Shows",,International TV Shows,No
s7484,TV Show,Money for Nothing,N/A,,United States,"Friday, 12 July 2019",2015,TV-PG,1 Season,"British TV Shows, International TV Shows, Reality TV",,British TV Shows,No
s7625,TV Show,Nuestra Lucha Libre,N/A,,United States,"Wednesday, 15 August 2018",2018,TV-MA,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows",,Docuseries,No
s7813,TV Show,Queens of Comedy,N/A,,United States,"Tuesday, 1 May 2018",2017,TV-MA,1 Season,"International TV Shows, Stand-Up Comedy & Talk Shows, TV Comedies",,International TV Shows,No
